REQ?,CODE,COURSE NAME,DESCRIPTION,CR,PREREQ(S)
ELEC,DATA 610 ,Project Management Concepts ,"Students in this course learn to plan, organize, lead, and control software projects to ensure that they meet requirements and are delivered on time and within budget. Students learn the essentials of defining requirements, scheduling, budgeting, managing complex teams and distributed work, communications, conflict resolution, and staff development.",3,NONE
ELEC,DATA 611 ,Overview of Current Technologies for Sustainability ,"This research course uses a case study format to examine the underlying technologies that offer potential for improving urban sustainability and enabling well connected and intelligent cities. Areas of study may include sensors and actuators; transportation systems; building control systems; electric power control systems; renewable energy delivery systems; analytics and optimization for decision-making, sustainability policy, and complex systems of systems. Current papers discussing real-life examples from urban areas around the world will be used. This course ties in aspects of behavioral economics, psychology, sociology, social media, and urban design and explores the nature of human interaction with systems. Guest speakers from New York City government and industry will enrich the student experience.",3,DATA 607 
ELEC,DATA 613 ,Managing Innovation and Strategy ,"This course has a dual focus. First, it prepares students to understand the nature of technical change in both information systems and technologies that are at the forefront of current practice. Second, the course explores current business models and product strategies that will drive market trends. Throughout the course students are responsible for analyzing how technical changes-many of which are specific to information systems-impact the populations affected by a new technology.",3,NONE
ELEC,DATA 617 ,Data Exploration and Outlier Analysis ,"In this course, students will develop advanced skills in exploring and processing large sets of disparate data types. Students will perform exploratory analysis, work with imperfect data sets, apply probabilistic techniques to the characterize variables, and identify and handle outliers. In addition, students explore relationships between variables and apply appropriate transformations to these variables.",3,DATA 606 and DATA 607 
ELEC,DATA 618 ,Quantitative Finance ,"Quantitative finance is a branch of applied mathematics concerned with calculation, modeling, and forecasting in a variety of industry segments. Professionals in this field use specialized knowledge and skills to determine value and calculate risk. Their results can play a key role in business actions such as financing, mergers, consolidations, speculation, and global expansion Students will engage in topics that include probability distributions, linear regression, stochastic calculus, Monte Carlo methods, Black-Scholes, capital asset pricing, and arbitrage pricing. Topics will be presented through academic theory and real-world examples.",3,DATA 606 and DATA 607 
ELEC,DATA 620 ,Web Analytics ,"Organizations, both commercial and community, can benefit from deep analysis of their website interactions and mobile data. Social networks have also become a source of information for companies; search engines are an important referral mechanism. Popular social networks and other online communities provide rich sources of user information and (inter-) actions through their application programming interfaces. This data can help to identify a number of individual user preferences and behaviors, as well as fundamental relationships within the community. Search engines use algorithms to rank sites. Students will learn how to analyze social network data for types of networks, the fundamental calculations used in social networks (e.g., centrality, cohesion, affiliations, and clustering coefficient) as well as network structures and roles. Beyond social network data, students will learn about important concepts of analyzing website traffic such as click streams, referrals, keywords, page views, and drop rates. The course will touch on the fundamentals of search algorithms and search engine optimization. To provide a basic context for understanding these online user and community behaviors, students will learn about relevant social science theories such as homophily, social capital, trust, and motivations as well as business and social use contexts. In addition, this course will address ethical and privacy issues as they relate to information on the internet and social responsibility.",3,DATA 606 and DATA 607 
ELEC,DATA 622 ,Machine Learning and Big Data ,"This course teaches students to apply advanced machine learning techniques to big data sets. Students will learn how to apply both new and previously studied techniques to large data sets in a distributed computing environment. In particular, the course will make use of the Hadoop framework and the Mahout implementation of machine learning algorithms. Students will also learn to apply basic text mining techniques as well as how to implement a basic recommender system in Hadoop.",3,DATA 621 
ELEC,DATA 623 ,Managerial Decision Analytics ,"This course covers the fundamental concepts, solution techniques, and applications of managerial decision analytics. Students will be exposed to topics from linear algebra, convexity theory, optimization modeling (linear, network, integer, multiple objective, nonlinear, stochastic), dynamic programming, metaheuristics, simulation, risk analysis, decision analysis, and Markov Decision Processes. Students will develop a contextual understanding of prescriptive analytics useful for providing managerial decision support by implementing the covered techniques using spreadsheets and R.",3,DATA 605 
ELEC,DATA 624 ,Predictive Analytics ,"This course teaches students to use advanced machine learning techniques that are focused on predictive outcomes. Topics will include time series analysis and forecasting, recommender systems, and advanced regression techniques. In addition, students will learn how to evaluate the predictions that result from these techniques, how to assess model quality, and how to improve models over time.",3,DATA 621 
ELEC,DATA 630 ,Urban Society and Sustainability ,"The course introduces students to concepts and practices of sustainability in cities. Key objectives are to review and critique how sustainability planning is being carried out, to identify the barriers and bridges to its effective implementation, and to identify the technologies and metrics of success being used to create, catalog, and understand the progress made. A related objective is to analyze the urban systems being impacted by sustainability planning and practices, and how those systems have been modeled. Furthermore, students will reflect on and discuss the impact of sustainability projects on people’s lives. The course includes a review of relevant literature and extended case study discussions. Topics include: urbanization and resource utilization; society and cities; systems and the built environment; resources; environmental management; green businesses.",3,DATA 600 and DATA 605 
ELEC,DATA 631 ,Data Structures and Algorithms for Distributed Systems ,"The trend in Big Data involves new frameworks, tools and techniques for organizing information into data structures in order to support efficient manipulation by algorithms. This course will provide students with foundational knowledge and hands-on learning in the acquisition, transformation and management (“data wrangling and munging”) of structured and unstructured data using Hadoop and Map Reduce frameworks.",3,DATA 621 
ELEC,DATA 644 ,Current Topics in Urban Sustainability: Energy ,"This course will cover the in detail the most up-to-date trends in energy distribution, consumption, monitoring, and conservation, including building control systems. Modeling and economic considerations will be a focal part of the course. Emphasis will be placed on software that is currently available for energy distribution, building usage, and conservation. Topics will vary, sometimes with a particular emphasis.",3,DATA 607 
ELEC,DATA 643 ,Special Topics in Data Analytics ,This course allows the program to offer additional material on advanced and specialty topics within the Data Science field. This will be an advanced class. Emphasis will be placed on project based outcomes.,3,DATA 602 and DATA 606
ELEC,DATA 645 ,Current Topics in Urban Sustainability: Transportation ,"The course will cover the most up-to-date trends in urban transportation systems, including both mass transit and surface transportation issues in an in-depth manner. Trends that rely on information systems, such as congestion pricing, peak demand parking, real-time transit information, and priority signaling, among others, will be considered. Emphasis will be placed on software and hardware implications.",3,DATA 607 
ELEC,DATA 646 ,Current Topics in Urban Sustainability: Complex Systems ,The course will cover the most up-to-date trends in urban systems and their interrelationships in an in depth manner. Emphasis will be placed on software and hardware implications.,3,DATA 607 
ELEC,DATA 661 ,Independent Study ,"This course allows the program to offer additional material in the broad area of Information Systems after the student has gained a general background from the Prerequisites. This will be an advanced class. Topics might include: effects of internationalism on information systems (language considerations, distributed program creation techniques across time zones, etc.), cooperative information systems, security, threats, internet considerations, filtering, GUI design considerations. Emphasis will be placed on the software and hardware associated with the information systems.",,NONE
